,Propionibacterium_acnes,Methanosaeta_harundinacea,Hyphomicrobium_unclassified,Methanobacterium_unclassified,Circovirus_like_genome_CB_A,Gordonia_amarae,Olsenella_unclassified,Desulfobacter_postgatei,Gordonia_otitidis,Mycobacterium_fortuitum,Mycobacterium_gilvum,Gordonia_terrae,Tetrasphaera_elongata,Methanosarcina_unclassified,Subdoligranulum_unclassified,Gordonia_alkanivorans,Eggerthella_unclassified,Methanobrevibacter_unclassified,Brevibacterium_unclassified,Verrucomicrobia_bacterium_SCGC_AAA168_E21,Methanosaeta_concilii,Planctomyces_maris,Agromyces_unclassified,Nakamurella_multipartita,Bifidobacterium_longum,Dietzia_unclassified,Eudoraea_adriatica,Pseudomonas_unclassified,Acinetobacter_unclassified,Tsukamurella_unclassified,Methanolobus_unclassified,Cyanobium_unclassified,Bifidobacterium_adolescentis,Microlunatus_phosphovorus,Paracoccus_unclassified,Thiobacillus_denitrificans,Caulobacter_unclassified,Rhodopseudomonas_palustris,Leucobacter_unclassified,Desulfococcus_oleovorans,Kocuria_unclassified,Bifidobacterium_pseudocatenulatum,Lactococcus_lactis,Collinsella_aerofaciens,Methanoplanus_unclassified,Nocardioides_unclassified,Methanomethylovorans_hollandica,Corynebacterium_kroppenstedtii,Brachybacterium_unclassified,Mycobacterium_vanbaalenii
12,0.03916666666666667,0.022363636363636363,0.0,0.0,0.0,0.0553968253968254,0.0,0.0,0.0,0.009029982363315692,0.019230769230769225,0.0,0.03666666666666667,0.003814950481617144,0.0,0.0,0.0,0.03288378288378289,0.03787878787878788,0.0,0.0,0.025384615384615384,0.0,0.0,0.01750582750582751,0.0,0.0,0.0,0.010666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022727272727272728,0.022727272727272728,0.032424242424242425,0.013333333333333336,0.0,0.0,0.0,0.0,0.0,0.013333333333333332,0.0,0.015384615384615385,0.0,0.0
13,0.01333333333333333,0.025384615384615384,0.034615384615384624,0.0,0.06328782328782329,0.015714285714285705,0.06666666666666667,0.0,0.02922077922077922,0.0,0.0,0.0,0.0,0.05130802178421225,0.0,0.0,0.0,0.0,0.03666666666666667,0.0,0.0,0.062393162393162394,0.03333333333333334,0.0,0.0,0.0,0.010884353741496601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04689754689754691,0.0,0.0,0.0,0.0,0.0,0.0,0.04985347985347986,0.0,0.0,0.0,0.0,0.016666666666666666,0.0,0.012121212121212123
14,0.03787878787878788,0.0,0.04952380952380952,0.0,0.030952380952380946,0.019230769230769225,0.025384615384615384,0.08412698412698413,0.015384615384615377,0.0,0.0,0.0,0.015384615384615377,0.01111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0028846153846153783,0.026666666666666665,0.0,0.030000000000000006,0.0,0.0,0.0,0.013186813186813199,0.0,0.0,0.0,0.0,0.01944444444444444,0.0,0.0,0.022703222703222704,0.0,0.0,0.018648018648018648,0.05672771672771674,0.0,0.0,0.0,0.012121212121212123,0.0,0.0,0.0
15,0.04529292929292929,0.0,0.019841269841269844,0.0,0.0,0.03615384615384615,0.0,0.0,0.0,0.015384615384615377,0.030952380952380946,0.015384615384615377,0.03666666666666667,0.0191005291005291,0.010714285714285716,0.0,0.0,0.0,0.056043956043956046,0.013333333333333332,0.08556776556776557,0.0,0.019393939393939394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015238095238095236,0.0,0.0014545454545454605,0.0,0.02333333333333333,0.03634698634698634,0.02142857142857143,0.0,0.004166666666666668,0.0,0.0,0.01111111111111111,0.011636363636363634,0.0,0.0,0.0,0.014385614385614384,0.0,0.022222222222222223,0.0060606060606060615
16,0.0,0.14223443223443227,0.0,0.0,0.05205128205128205,0.0,0.0,0.0,0.0,0.0,0.03555555555555556,0.0,0.025384615384615384,0.0,0.0,0.0,0.0,0.0,0.03095238095238096,0.05,0.0,0.027777777777777773,0.0,0.0,0.024615384615384615,0.0,0.0,0.0,0.0,0.0,0.00486111111111111,0.0,0.009768009768009766,0.0,0.045454545454545456,0.01333333333333333,0.025396825396825397,0.0,0.022164502164502168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026666666666666672,0.0,0.04606060606060606
17,0.0,0.10523809523809524,0.0,0.0,0.0,0.013333333333333336,0.0,0.008888888888888889,0.012121212121212123,0.0,0.0,0.0,0.02142857142857143,0.0,0.010256410256410256,0.0,0.0,0.05,0.01666666666666667,0.0,0.030952380952380946,0.0,0.0,0.0,0.0,0.0,0.0,0.03703703703703704,0.0,0.013186813186813199,0.02777777777777778,0.0,0.03232323232323232,0.013675213675213673,0.0,0.0,0.016625966625966625,0.0,0.032,0.0,0.0,0.0125,0.0,0.0,0.0028846153846153783,0.0,0.0,0.0,0.019230769230769225,0.0
18,0.015384615384615377,0.05,0.025384615384615384,0.0,0.0,0.0,0.0,0.015151515151515148,0.0,0.010158730158730155,0.0,0.023333333333333324,0.0,0.07593813593813595,0.0,0.025384615384615384,0.0,0.03888888888888889,0.0,0.0,0.0,0.05128205128205129,0.0,0.0,0.0,0.0,0.024615384615384615,0.0,0.017454545454545452,0.02222222222222222,0.0,0.04734265734265734,0.0,0.022727272727272728,0.0,0.0,0.02222222222222222,0.0,0.0125,0.0,0.018648018648018648,0.0,0.0,0.0,0.0,0.0,0.015277777777777779,0.0,0.0,0.0
19,0.0,0.02077922077922078,0.007499999999999995,0.0,0.015151515151515152,0.0,0.0,0.0,0.02095238095238096,0.08461538461538462,0.0,0.0,0.013333333333333332,0.0,0.03666666666666667,0.0,0.008818342151675486,0.0,0.0470940170940171,0.0,0.0,0.02142857142857143,0.008571428571428568,0.0,0.033030303030303035,0.0,0.026666666666666665,0.08922077922077923,0.0,0.012380952380952388,0.0,0.0,0.031962481962481956,0.0,0.0,0.010683760683760686,0.0,0.0,0.0032323232323232323,0.0,0.01128747795414462,0.0,0.014848484848484847,0.0,0.0,0.0,0.0,0.009696969696969697,0.0,0.0
20,0.0,0.03568009768009768,0.08,0.03787878787878788,0.0,0.0,0.01111111111111111,0.019230769230769232,0.0,0.012121212121212123,0.013090909090909094,0.03191919191919192,0.03787878787878788,0.02777777777777778,0.011111111111111112,0.0,0.0,0.0,0.0,0.0,0.008547008547008548,0.0,0.0,0.0,0.0,0.009696969696969697,0.0,0.023703703703703706,0.010884353741496601,0.0,0.0,0.0,0.0,0.012962962962962963,0.019047619047619046,0.0,0.0,0.0,0.010256410256410256,0.01751515151515151,0.0,0.0,0.0,0.0,0.0,0.02782816830435878,0.0,0.0,0.0,0.0
21,0.0608843537414966,0.030246913580246913,0.0345931845931846,0.053593073593073595,0.0,0.024615384615384615,0.0,0.0,0.0,0.0,0.0,0.0,0.04670514670514671,0.0,0.01142857142857143,0.0,0.011851851851851848,0.005454545454545456,0.013675213675213673,0.015714285714285705,0.0,0.0,0.0,0.0,0.0,0.0,0.03428571428571429,0.033113059779726436,0.012962962962962959,0.0,0.0,0.0,0.0,0.03787878787878788,0.02142857142857143,0.0,0.008465608465608464,0.009670329670329677,0.0,0.0,0.0,0.05,0.0,0.019047619047619046,0.0,0.009670329670329677,0.0,0.0,0.0,0.015042735042735048
22,0.01607142857142857,0.0,0.0,0.0,0.024615384615384615,0.021333333333333333,0.0,0.0,0.0,0.0,0.0,0.015384615384615377,0.0,0.0,0.018000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03787878787878788,0.0,0.0,0.0251404958677686,0.01111111111111111,0.0,0.019047619047619053,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.012121212121212123,0.011111111111111112,0.0,0.0,0.0,0.0,0.0,0.06731601731601732,0.05,0.0,0.0,0.015151515151515148
23,0.03787878787878789,0.0,0.027272727272727275,0.019047619047619056,0.03238095238095239,0.01746031746031747,0.0619047619047619,0.0,0.0,0.019047619047619056,0.0,0.02461538461538462,0.0,0.0,0.0,0.0,0.0,0.0,0.047606837606837614,0.011282051282051283,0.0,0.0,0.03142857142857144,0.0,0.0,0.0,0.0,0.029220779220779224,0.0,0.011428571428571432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025384615384615387,0.03000000000000001,0.0,0.0,0.0,0.01650793650793651,0.02461538461538462,0.0
24,0.0,0.026666666666666675,0.0,0.0,0.0,0.0,0.0,0.01483516483516484,0.03183483183483185,0.0,0.04682539682539683,0.05428571428571428,0.0,0.027828168304358785,0.03347171347171348,0.020952380952380962,0.0,0.005454545454545457,0.0,0.0,0.0,0.0,0.039455782312925174,0.0,0.011636363636363636,0.0,0.0,0.030246913580246917,0.0,0.0342857142857143,0.0,0.0,0.0,0.05142857142857143,0.0,0.036666666666666674,0.0,0.0,0.0,0.0,0.04460539460539461,0.021428571428571432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
